id,name,category,price,stock_quantity,supplier_id,sku,description,weight,dimensions,warranty_months,created_at
12,Steam Deck Pro,Gaming,1632.37,101,43,GAM-19171,"Scientist I doctor describe tell.
Mean eye staff rule. Officer significant stand down then worry.",3.153,31 x 8 x 5 cm,6,2024-05-15T03:01:24.813560
13,Elite Accessorie 4944,Accessories,65.63,148,40,ACC-32810,"Tax certain leg arm include. Newspaper care drug data position two.
Movie stop appear help. Owner them could seven right next look thank. Field training deep couple scientist section.",2.09,36 x 5 x 5 cm,6,2023-07-07T14:58:48.646122
14,Premium Component 5379,Components,453.32,0,48,COM-72021,"Administration network once result. Charge form here street material.
Shake major rich science leave. College result major true my politics. Model stuff avoid stand.
Include successful discuss.",0.515,26 x 26 x 10 cm,24,2023-12-30T15:36:16.923214
15,Xbox Series X Max,Gaming,12242.134755492067,36,30,GAM-19545,"South travel blood benefit chance court. Education great some bad where learn during. Feel stock ball yard practice.
If help live PM.
Matter its six not. Thus try discover top.",3.186,16 x 27 x 7 cm,24,2024-02-01T13:14:49.944537
16,Advanced Tablet 190,Tablets,1053.46,1,12,TAB-38683,"May window approach join. Future shoulder western however.
Plant situation late. Green wait it quickly produce. Sign far east available.
Here six child hope. Blood accept final growth especially car.",3.51,24 x 6 x 9 cm,12,2023-11-28T13:09:51.262067
17,Ultra Camera 7712,Cameras,3955.2,132,40,CAM-68008,Rate college especially environmental. As itself inside machine. Guess want result many.,4.471,23 x 22 x 8 cm,6,2024-05-27T21:37:24.294011
18,Max Camera 4150,Cameras,1326.05,39,18,CAM-41358,For exactly skill half usually. Or nation race nearly well. Wall decide something story attorney summer some.,3.596,17 x 13 x 6 cm,12,2023-08-05T07:22:52.915233
19,Ultra Tablet 3888,Tablets,310.45,19,22,TAB-63424,Coach partner none population position whom. Whole involve action else member million.,2.137,16 x 18 x 7 cm,12,2024-09-19T13:24:59.230949
20,Elite Component 7914,Components,17587.946616003206,0,35,COM-64921,Might necessary former interview left. Picture control price how scene third.,2.776,29 x 12 x 8 cm,6,2025-04-05T07:25:15.277354
21,Pro Camera 6471,Cameras,2812.82,31,9,CAM-71261,Public finish draw bring. Really memory industry case himself control. Really population yourself never majority cell fire. People tend weight machine crime himself no.,2.717,39 x 17 x 10 cm,12,2023-07-04T15:00:52.532208
22,Ultra Smartphone 7664,Smartphones,538.2,26,22,SMA-52840,Despite interesting save president easy themselves allow. Give stage keep yes simply. Decide scene ready technology particular.,1.958,34 x 18 x 5 cm,6,2025-02-26T14:10:51.821510
23,Pro Laptop 5833,Laptops,985.27,61,13,LAP-42411,"Economic represent stock seven. Majority officer environmental increase later plant.
Middle everything view hard wear force. Than suggest behavior.",2.553,17 x 9 x 8 cm,24,2023-06-16T02:57:20.677099
24,Advanced Camera 4298,Cameras,920.82,44,50,CAM-25012,"Lead yeah into yet travel think. City usually ever pressure economy.
Appear personal rise sense. Pretty region ability live car difficult. Act receive stage write institution car.",4.827,13 x 23 x 1 cm,6,2024-10-10T20:45:40.007406
25,Advanced Smart Hom 3349,Smart Home,354.59,113,44,SMA-49529,None particular clearly goal defense security turn. Rather team beautiful beyond sell operation himself white.,0.693,28 x 30 x 1 cm,6,2024-06-03T03:57:36.730301
26,Pro Accessorie 8389,Accessories,13.67,32,28,ACC-23833,Month within would value. Hit stuff inside national. Several west side admit. Add democratic two we.,3.214,36 x 19 x 3 cm,36,2024-10-13T17:27:36.887336
27,Smart Component 8917,Components,475.58,5,6,COM-42177,"Recognize role suffer around beat. Break partner area program price compare.
Reduce clearly well mission.
Head seek them run. Sign ahead southern evening.",2.309,34 x 19 x 10 cm,6,2024-11-26T08:31:03.418654
28,Pro Accessorie 8198,Accessories,62.73,105,22,ACC-43862,"Teach activity animal.
Turn condition whether along sort research. Different eat trouble floor step number. Maybe top conference source.
Attention let executive suddenly force network.",3.021,38 x 13 x 9 cm,,2024-05-29T14:52:53.201468
29,Sennheiser Momentum Ultra,Audio,230.24,172,29,AUD-74332,"Set early according improve do get style. Week ability price.
Day work information which. Republican behavior TV today.",0.556,17 x 17 x 4 cm,36,2025-04-23T11:28:00.257229
30,Premium Camera 8798,Cameras,3987.54,41,18,CAM-69473,Board black last finish building group show later. Enter build citizen rather step recent American.,1.23,33 x 11 x 6 cm,24,2023-09-07T17:09:20.484705
31,Sennheiser Momentum Plus,Audio,782.46,185,13,AUD-23176,Rather visit base only true avoid. Cup position speak begin. Business walk anything under item right.,1.868,19 x 5 x 9 cm,12,2025-03-11T10:49:19.812494
32,Advanced Laptop 2168,Laptops,2832.54,12,19,LAP-85243,"Piece soon some writer site. Look sit general not focus establish. Five despite time.
Speak line group once. Wind beyond prevent entire staff.
Offer work home very yard. Compare or south recently.",2.101,15 x 6 x 5 cm,6,2024-01-26T14:31:21.381801
33,Elite Smartphone 8156,Smartphones,1018.28,9,20,SMA-83772,"Only true similar suffer.
Health walk how big. Follow wish run join police. Power company why really up skin development.",1.316,27 x 29 x 7 cm,24,2024-09-10T22:50:23.910336
34,Elite Wearable 7481,Wearables,308.15,43,37,WEA-50026,"Land enter economic attack either blue. Answer just information.
Manage her national big look tell. Class available suffer far five.
Game thousand claim avoid. Full world throw relate.",3.087,33 x 8 x 4 cm,36,2024-02-22T19:23:54.016668
35,Galaxy S24 Ultra ,Smartphones,203.48,0,31,SMA-87832,"Far product outside current. Deal point with. Such final however major produce before name.
Those hard knowledge enjoy let difficult. Nor character recent benefit property.",1.234,32 x 14 x 8 cm,24,2024-10-11T03:44:07.029826
36,Advanced Gamin 9763,Gaming,1873.97,4,42,GAM-39466,Build serious common worker. Speak call interest write itself. Challenge organization floor road southern beautiful news need. Mind true actually red onto.,1.402,14 x 7 x 1 cm,36,2024-03-24T14:15:53.642200
37,Advanced Component 9425,Components,450.37,0,45,COM-49857,Race I how these real any little environmental. After stage field exactly man receive. Win direction feel season. Especially indicate population could deep station.,1.434,27 x 20 x 8 cm,12,2023-06-26T13:20:17.186632
38,Advanced Smart Hom 5380,Smart Home,42.16,20,38,SMA-85392,"Order concern that only glass clear thus. Expect hit clear occur. Tax positive question especially important.
Listen car community.
Education source figure whom poor.",4.998,31 x 13 x 10 cm,,2023-12-23T11:43:57.295167
39,Elite Tablet 8602,Tablets,1111.88,17,41,TAB-67132,"Change she tonight south sort. Identify floor cause agent market fast trade identify.
Remain occur couple risk develop movement size trade.",4.848,25 x 16 x 7 cm,12,2023-08-29T06:24:25.587322
40,Max Tablet 6844,Tablets,452.63,31,3,TAB-82102,"Oil per line create build quite morning including.
Yeah garden would throughout. Century television Congress ball forward would finish.",1.641,20 x 8 x 7 cm,12,2025-05-09T09:10:59.608867
41,Elite Wearable 6870,Wearables,462.91,456,14,WEA-16764,"Also current health. Throughout series most. Quality phone eat.
Can himself open cold statement. Way lay minute model its. Garden top grow could.",0.742,19 x 19 x 8 cm,24,2024-09-01T10:01:07.320100
42,Max Tablet 9124,Tablets,20399.54028458825,2,30,TAB-24871,Product president after. Indicate herself natural listen. Day rate act inside. Production establish paper case.,3.274,14 x 20 x 5 cm,36,2024-05-20T08:17:18.293655
43,Smart Smart Hom 8005,Smart Home,144.55,41,39,SMA-34983,"Actually become book. Protect chance bed memory rich big eight.
Write fast less between company always fact. International break surface three act catch.",4.409,37 x 7 x 5 cm,6,2024-10-20T04:33:25.771137
44,Smart Accessorie 8418,Accessories,10.74,127,43,ACC-86011,"Power someone both receive around wall. Billion treat lot notice. Consider here grow agreement range stuff.
Turn both in animal energy fire relate. Should office north within prove full mission.",0.828,27 x 20 x 6 cm,6,2025-01-21T02:34:54.606654
45,Max Camera 3190,Cameras,1183.58,4,3,CAM-63841,"Know of because material firm wonder seat. Bill include news.
Social white point three.
Pressure lay future stay staff. Forward should outside respond guy laugh best. Able great plant son natural.",2.418,39 x 30 x 7 cm,24,2024-08-07T08:16:21.371603
46,Pro Camera 2168,Cameras,2483.67,0,7,CAM-67711,Probably what care material morning any very. Lot meet TV concern official room campaign hold. Paper focus thing industry participant realize eat huge.,2.339,33 x 9 x 7 cm,24,2025-05-21T01:49:18.364225
47,Max Smartphone 5646,Smartphones,716.73,1,35,SMA-98389,"My PM report set no old wall. Purpose throw move there institution actually.
Herself apply argue. Seek claim expert economy style.",1.652,32 x 29 x 8 cm,12,2024-10-01T15:06:04.235487
48,Pro Component 3946,Components,922.51,2,7,COM-66881,"Indicate small rate whole approach season. Per sit thank stop treatment. Sense national owner simply who family.
Cost community message help. Evidence enough claim suffer accept letter.",3.549,13 x 19 x 3 cm,12,2023-10-16T13:01:25.138963
49,Pro Laptop 4906,Laptops,1962.85,326,44,LAP-84177,"City myself idea glass third professional former. Despite sell most you statement.
Protect knowledge toward party.",1.425,12 x 24 x 7 cm,24,2023-11-01T09:38:28.307599
50,Premium Camera 2444,Cameras,2660.25,168,30,CAM-11231,Section child learn forward. Available concern edge audience. Treat imagine later identify first.,3.42,15 x 7 x 8 cm,36,2025-01-06T06:06:56.668744
51,Advanced Smart Hom 4197,Smart Home,172.0,30,16,SMA-23979,Whether century quality trial some. Whatever action themselves center among of. Mr water fight security tough gas.,1.859,19 x 27 x 5 cm,,2024-02-20T02:41:49.821619
52,Max Smart Hom 232,Smart Home,352.33,63,19,SMA-75107,"Expect attorney cover magazine. Pattern figure once not hair first.
Above east develop science. Everybody growth quickly former lose knowledge. Main board population bank exactly.",1.228,35 x 16 x 4 cm,36,2023-09-20T19:16:51.649263
53,Advanced Tablet 1691,Tablets,828.66,130,38,TAB-14373,Through operation tax card may. However maybe production summer. Range serious cell city not not the certainly.,0.744,39 x 14 x 6 cm,24,2024-08-06T12:25:19.051643
54,Audio-Technica ATH-M50x Plus,Audio,735.12,2,19,AUD-73156,Edge win development image stage generation society. According think key discover method exactly change church.,1.76,13 x 19 x 2 cm,24,2025-03-06T23:07:00.097355
55,Smart Smart Hom 9231,Smart Home,401.62,54,30,SMA-26199,"Describe paper likely loss. Store over some star consider.
Cold rate two others attention. History board dark teacher mean information. Painting concern top outside.",3.77,18 x 23 x 7 cm,36,2023-12-07T03:36:24.444931
56,Elite Smartphone 510,Smartphones,1426.12,26,42,SMA-39015,"Exist theory impact country. Official brother according.
Impact blood international one end movie. Hand every quite sense including six lot.",4.137,39 x 27 x 5 cm,12,2023-07-12T06:05:00.751320
57,Pro Tablet 709,Tablets,667.26,75,9,TAB-80457,"Source statement likely. Itself ask develop bag also his worker pass. Expert white arm similar compare manager action.
Crime six member recognize past. Growth pretty wish. You sister good house.",1.918,40 x 28 x 9 cm,24,2024-12-17T16:12:50.859525
58,Advanced Smart Hom 1722,Smart Home,319.36,122,14,SMA-58566,Race to television loss election him small. Quality discover firm western might. Red enjoy expert.,4.758,37 x 16 x 2 cm,36,2023-07-31T13:31:31.218086
59,Advanced Wearable 5976,Wearables,293.12,13,6,WEA-69600,"According tax when summer he firm together thing. Than make worker trouble exactly develop office. Moment institution vote.
Girl team simply lead build million firm.
Purpose here beyond.",3.244,29 x 5 x 1 cm,24,2025-01-08T15:23:29.719243
60,Smart Tablet 9350,Tablets,1021.31,5,15,TAB-38305,South computer matter yet support military result. Feel no nothing huge real art sport.,0.823,38 x 24 x 1 cm,24,2024-03-08T14:16:21.788341
61,Premium Tablet 4206,Tablets,265.42,1,16,TAB-56955,"Place certain cold space front piece occur. Bad gas finish president.
Popular even know television guy only whole including. Take by doctor edge.
Cold billion as these nature. Side model you.",0.177,18 x 6 x 3 cm,12,2024-02-19T21:29:17.783578
62,Smart Smartphone 6031,Smartphones,341.77,38,3,SMA-90623,Level that various nature career way much. Our piece player nor model police finally girl. Dinner become film include choose action model.,4.553,31 x 21 x 5 cm,12,2024-04-18T12:39:28.417847
63,Smart Laptop 6680,Laptops,1091.5,164,21,LAP-20589,"Resource position stock determine. Instead dream share travel.
Possible mother especially could attention. Face PM pay evening.",1.164,18 x 24 x 10 cm,36,2023-09-01T07:41:25.261407
64,Premium Smart Hom 8792,Smart Home,267.61,161,42,SMA-24996,"Side kitchen scene almost leave side. Program decade home which view city rock.
Business loss federal growth appear project wind. Plan foot cold everybody build. Across among situation little other.",3.868,33 x 11 x 7 cm,24,2025-03-21T16:26:52.881972
65,Max Smart Hom 7530,Smart Home,372.92,0,43,SMA-50963,"Next my majority note myself food. Every story trial never attention choice fast. Must law simply media safe.
Task simply draw return probably much hold model.",4.773,31 x 20 x 2 cm,12,2024-06-22T07:57:59.846366
66,Advanced Smartphone 6205,Smartphones,923.28,43,22,SMA-83620,Any determine responsibility actually TV. Up story life police guess sea three. Some around pay more same strong. War whether best rise.,2.113,37 x 26 x 7 cm,12,2023-09-27T18:35:33.320462
67,Max Gamin 1797,Gaming,504.2,48,23,GAM-24184,Value total nearly you suddenly include. Step food drive nation heart nearly. Growth laugh where a alone. Other military year few feel.,1.901,34 x 13 x 10 cm,6,2025-03-15T02:00:12.774750
68,Smart Wearable 9221,Wearables,46454.21525890391,3,45,WEA-45818,"Eight feel now notice design. Rich society common stay.
Organization feel room office. Sister two free they. Indicate test thank dinner present own.",4.616,21 x 5 x 3 cm,6,2024-11-19T15:12:11.818491
69,iPhone 15 Pro Pro,Smartphones,479.67,4,24,SMA-30631,Send offer bed it skill challenge from. Number any human be maybe similar candidate. Lose cup house number.,1.689,40 x 23 x 10 cm,12,2023-10-28T02:18:15.137721
70,Ultra Tablet 915,Tablets,435.71,48,29,TAB-89570,Serious table both approach. Unit than star add really born late age. Science deep national seek nature.,1.156,26 x 8 x 6 cm,36,2025-05-17T15:00:38.323104
71,Elite Component 8733,Components,64.51,403,1,COM-17180,,4.732,34 x 9 x 5 cm,12,2025-05-31T13:24:15.873740
72,Elite Laptop 2978,Laptops,2237.97,20,23,LAP-97562,"True fish newspaper we brother fish they. She they increase.
Kitchen value thus value event. Blood continue several partner environment. Partner others discuss ago bag sister care.",3.154,11 x 18 x 1 cm,12,2024-11-11T07:44:08.188276
73,Premium Accessorie 7133,Accessories,215.75,32,2,ACC-63088,"Voice occur movie political region although body lead. There early Mrs. Newspaper might piece.
Fact huge fight still leave.",0.942,40 x 24 x 8 cm,36,2023-12-03T21:50:29.864939
74,Pro Smartphone 4086,Smartphones,720.58,71,48,SMA-50668,"Before relationship plant be. Risk window partner civil nearly analysis.
Not process change than condition Republican. Final role which eye Congress together.",1.732,15 x 7 x 9 cm,24,2023-08-01T05:36:28.028994
75,Max Accessorie 2519,Accessories,52.47,18,49,ACC-30036,Each natural people. Star debate continue area give certainly allow. Study fear turn any indicate condition public. Produce record occur no whom see growth along.,0.469,40 x 29 x 8 cm,6,2023-11-04T12:25:37.838264
76,Advanced Component 5395,Components,634.67,578,29,COM-71462,"Around number without more because right painting small. Interview summer employee offer perhaps.
None mind place manage conference participant remember without. Brother let someone.",4.002,28 x 6 x 6 cm,36,2024-10-17T05:15:45.843368
77,Elite Camera 716,Cameras,3377.28,540,40,CAM-21835,Right pattern ahead compare form full. Trouble something population loss physical throughout Mr. Leg sport until argue minute north.,1.984,28 x 22 x 1 cm,24,2024-06-01T07:38:19.127771
78,Premium Accessorie 7892,Accessories,287.74,4,46,ACC-55015,"Later week democratic few born size. Tree kitchen agent lot matter.
Type run model simply century the. Quality car right least require mission about.
The four threat billion she seat against serve.",3.266,11 x 12 x 8 cm,24,2023-11-02T03:08:03.661536
79,Max Accessorie 4734,Accessories,234.59,49,42,ACC-92691,Five center region exist each author party. Music anything ahead tough anyone himself. Interview condition other or.,1.715,27 x 26 x 7 cm,24,2025-04-04T06:33:30.399966
80,Pro Accessorie 9647,Accessories,275.86,25,26,ACC-96787,Law air little goal leave color. Page camera bill stage someone for. Society mouth husband including.,3.573,12 x 14 x 9 cm,36,2024-09-28T11:12:38.033866
81,Advanced Tablet 8724,Tablets,853.98,5,20,TAB-57526,"Stage thought tough player a. Produce laugh factor past.
Day theory feel some quickly. Response trip wrong old particularly member. System artist too whose.
Star grow technology tend dog reduce hour.",1.15,40 x 29 x 8 cm,24,2025-05-16T10:18:47.071749
82,Pro Tablet 4946,Tablets,256.2,0,3,TAB-79013,"Case south team throw. Us perhaps lawyer interest star his difficult interesting.
Marriage room Republican especially unit office almost.
Low happy oil which bag room money.",4.394,29 x 9 x 10 cm,24,2024-05-11T23:52:33.441377
83,Smart Tablet 2812,Tablets,195.88,29,29,TAB-41133,"Good within far cold reason our. Risk nor article list college. Prevent factor say.
Machine camera baby six edge.",3.787,35 x 19 x 4 cm,36,2024-03-31T21:07:22.242876
84,Smart Camera 3278,Cameras,3804.38,34,50,CAM-46932,"Produce rise cold official success. Politics sense break. Less live live way.
Here relationship listen certain that. Eye something high. Which raise American truth PM what.",2.685,40 x 10 x 4 cm,24,2024-03-30T15:20:05.516711
85,Steam Deck Plus,Gaming,294.92,0,19,GAM-26341,"Rate goal rise edge. Agency begin voice. Wear point remain build task.
Prevent tonight not whose to receive. Far produce away law yet.",0.886,24 x 21 x 3 cm,12,2023-12-10T10:07:00.980532
86,Max Audi 536,Audio,347.34,3,24,AUD-20696,"Audience road since affect.
Present a also hospital. Record toward off middle. Long identify road speech audience difficult his.",1.662,13 x 27 x 6 cm,24,2024-03-15T04:38:51.650062
87,Acer Swift 3 Max,Laptops,2066.6,203,17,LAP-12490,"Read main those just country along agent you. Majority as music film move.
Already argue skin. If deep president. Learn question them chance often under already.",1.374,40 x 28 x 10 cm,12,2024-08-23T17:14:16.056624
88,PlayStation 5 Pro,Gaming,1314.01,5,32,GAM-24530,Stand blood market sometimes. As dark front structure scene. Food wish office case student soldier. Or friend building.,0.181,26 x 23 x 4 cm,36,2025-03-13T02:29:21.978968
89,Pro Smart Hom 5880,Smart Home,225.79,1,5,SMA-57265,"Realize deal policy mission include visit particular. Other response partner. Physical site girl above.
Brother morning believe gun seven. Medical less phone decade apply both chance.",2.766,35 x 21 x 9 cm,,2024-01-28T03:16:16.535641
90,Pro Camera 6438,Cameras,1238.51,7,23,CAM-18855,Direction down include customer through available. Machine three certain until lawyer hold carry rest.,3.32,13 x 29 x 10 cm,36,2025-03-16T16:31:30.469864
91,Pro Tablet 5872,Tablets,1004.18,590,30,TAB-99742,Trial together individual analysis. Safe mean international hour special recent better. Drive next actually rule wear car fast. Administration protect class learn.,2.445,15 x 30 x 3 cm,6,2023-11-02T13:06:38.216807
92,MacBook Pro 16-inch M3 Max,Laptops,1652.11,3,31,LAP-81176,"Thing save area war push thousand book half. American hand possible relate night similar catch friend.
Power say sell that. Send set fly today me. Everyone as generation main money but.",2.883,16 x 14 x 6 cm,12,2025-03-04T09:28:43.012367
93,Max Accessorie 2139,Accessories,136.72,31,22,ACC-60678,Age indicate radio use listen information scene again. As the discussion water popular. Official pretty skin main program morning.,2.531,25 x 16 x 9 cm,12,2024-10-22T08:23:42.071992
94,Pro Smart Hom 7155,Smart Home,416.5,190,6,SMA-23447,"Draw American first call. Hard day religious program within.
Large wish move building agent use. Way until choose wife.",1.549,24 x 24 x 7 cm,6,2024-01-15T06:40:05.352093
95,Elite Accessorie 793,Accessories,274.37,5,41,ACC-45986,Subject land begin area political on develop very. Cultural base support quality whatever. Hour make owner memory argue project huge.,4.745,12 x 26 x 7 cm,24,2025-05-26T05:21:54.688401
96,MSI Creator Z16 Ultra,Laptops,3361.6774807718098,144,3,LAP-84349,At whether series because important trial. Company left nothing trip current strategy. Network amount step strong fight.,2.698,40 x 16 x 6 cm,12,2024-04-17T18:27:45.791800
97,Ultra Component 8774,Components,328.1,23,2,COM-24869,"Rather window stand health run adult employee ok. Floor there career clear.
Information treatment green face morning view. Create physical share out cold follow first.",2.545,22 x 22 x 2 cm,36,2024-03-31T04:24:31.622898
98,Ultra Camera 4778,Cameras,3994.93,18,29,CAM-19706,"Design me story somebody. Party story moment mother necessary series box.
Bring capital admit give. Catch kind would mission wide common. Agreement sport develop task central.",3.596,12 x 30 x 6 cm,12,2023-06-28T04:25:30.142655
99,Premium Wearable 4857,Wearables,695.95,50,33,WEA-57381,Arrive budget education at property senior site turn. Onto customer provide ahead certainly. We girl civil may rock.,4.927,35 x 9 x 4 cm,12,2023-10-17T11:03:18.663778
100,Premium Accessorie 9476,Accessories,243.06,41,5,ACC-21300,"Strong wonder interest method. Both world buy book career several.
Reveal bank management his lead save reach. Difficult imagine world into task thus.",4.998,33 x 20 x 9 cm,6,2025-05-27T21:19:03.394972
101,Pro Component 2153,Components,649.49,0,34,COM-99143,"Study rise everything require old. Series song wall green project.
Memory challenge lawyer business majority discuss wall. Between apply attention. Will him quickly.",4.402,34 x 22 x 10 cm,24,2025-04-30T01:42:10.393262
102,Premium Smart Hom 1007,Smart Home,273.51,128,46,SMA-52291,"They budget late table kind along.
Process single those clearly issue fine home. Notice make network much.",4.743,26 x 14 x 2 cm,36,2023-12-02T02:34:02.898464
103,Advanced Tablet 5061,Tablets,248.1,47,10,TAB-86106,"Be read than boy college Mrs also price. Nothing top entire receive onto worry.
Hope occur space beyond push from me. Coach federal wide cut player wind. Subject movie explain answer.",3.16,38 x 24 x 6 cm,12,2023-12-04T18:34:21.469181
104,MSI Creator Z16 Plus,Laptops,2870.79,4,32,LAP-13969,Public natural thing physical might cost material. Environmental point speak table trade various risk. Mission hair challenge character.,2.364,30 x 14 x 8 cm,6,2023-10-22T10:05:53.816912
105,Advanced Gamin 1081,Gaming,889.68,0,39,GAM-54589,"Less nice job positive already. Evening ahead smile everyone.
Popular amount reveal site. Teacher base own test. To public though however style successful.",4.321,20 x 28 x 6 cm,24,2024-08-04T01:38:44.561518
106,Premium Accessorie 9302,Accessories,80.1,13,10,ACC-42495,Very design blood degree ever. Effect operation make hear we first. Little east everyone six certain little.,1.522,22 x 24 x 7 cm,24,2024-04-22T09:30:44.594922
107,Premium Accessorie 5223,Accessories,56.21,38,32,ACC-50441,,4.732,26 x 19 x 4 cm,36,2023-06-09T23:25:25.276891
108,Acer Swift 3 ,Laptops,2566.5,0,1,LAP-80345,Feeling view series father teacher. Trouble place these short. Smile ever bag single man say.,2.077,38 x 13 x 6 cm,36,2023-08-24T04:30:20.476582
109,Premium Laptop 9304,Laptops,2293.7,10,49,LAP-69028,Require should power candidate order improve vote. Long same end reach step son cup.,3.063,29 x 26 x 10 cm,12,2023-06-14T12:58:28.773673
110,Max Smart Hom 5655,Smart Home,201.83,2,26,SMA-76731,"Significant up still management difference data. Explain management candidate task outside. Risk country Congress society agreement.
Pay traditional hard range leader. Light the window.",0.322,14 x 27 x 6 cm,6,2024-03-18T13:09:14.341141
111,Premium Tablet 8546,Tablets,1127.94,26,48,TAB-90805,"Whose nice oil employee. Manage fund life bed report item employee. Analysis campaign the strong security unit.
Party seven enough fine throughout. Say man wear new type PM.",3.009,26 x 21 x 9 cm,36,2023-10-14T04:40:30.019106
112,Smart Camera 372,Cameras,2793.08,4,2,CAM-92478,"State none production defense your above short. Indicate baby should quality.
Expect wonder business. Opportunity week student child ball store. Law western order accept wide prevent week.",1.401,30 x 30 x 10 cm,12,2025-01-13T06:06:57.852703
113,Elite Component 2893,Components,726.76,30,16,COM-99224,Capital program story mention majority those live none. Bed institution happy control piece behavior.,4.746,13 x 11 x 1 cm,6,2023-07-07T04:06:03.939389
114,Elite Tablet 3440,Tablets,963.72,36,46,TAB-18163,"Interesting behind produce nothing effect effort bank. Administration scientist leg skill successful and indicate.
Onto lawyer prove perhaps enter whom. Decision back word else.",1.116,20 x 26 x 8 cm,36,2023-08-07T05:53:45.362738
115,Elite Tablet 8834,Tablets,522.0,336,16,TAB-35200,Course staff receive. Teacher decide possible power job.,1.563,40 x 14 x 5 cm,6,2025-01-20T19:19:21.289957
116,Elite Accessorie 5814,Accessories,281.0,3,44,ACC-85166,Research month instead firm as. Threat bring performance position large job. Explain court gas discussion.,4.489,22 x 16 x 3 cm,36,2024-08-31T11:21:39.539558
117,Elite Smartphone 4301,Smartphones,478.18,40,45,SMA-83664,"Project can current paper. Soldier wall management doctor.
Yourself grow end. Company teacher me southern. Issue pay building difference election future.",0.635,33 x 23 x 4 cm,24,2024-07-19T02:31:23.434755
118,Sennheiser Momentum Plus,Audio,125.41,2,27,DUP-3587,"Cold brother day gun. Remain seven marriage that child. Free case summer keep indeed shoulder.
Game measure be head senior guess professor. Send morning skin case.",4.415,25 x 20 x 4 cm,36,2023-09-22T11:56:19.138423
119,Max Accessorie 1069,Accessories,35.94,494,12,ACC-14888,Within woman sometimes then. Information though red them return. Training account evidence month turn record.,4.204,39 x 6 x 7 cm,24,2024-01-18T07:46:41.965228
120,Pro Gamin 4988,Gaming,303.87,136,35,GAM-94058,"Age three music else. Risk would book art health. Medical buy series walk large occur accept fund.
Not thus physical mouth other go expect size. Public research mind easy foreign old state.",4.457,14 x 21 x 8 cm,12,2024-06-07T16:42:51.661464
121,Ultra Accessorie 7618,Accessories,218.39,1,37,ACC-48669,"Can relate tell brother defense list second. Hard weight own impact building occur American. Brother figure hear family.
Central operation any thus.",1.046,29 x 25 x 7 cm,36,2025-03-22T20:55:24.540878
122,Pro Smartphone 3127,Smartphones,820.69,21,16,DUP-7284,"Strong street car catch PM seven project. Term foot son professor. Hold too fund animal provide kitchen.
Tend religious occur someone. Night buy nice court peace.",1.408,20 x 14 x 10 cm,12,2024-04-02T07:59:06.345144
