id,name,contact_email,phone,address,country,reliability_score,average_delivery_days,payment_terms,established_date,certification
26,Walters-Vasquez,harrisonricky@example.com,+1-712-356-7468x07154,"Unit 6808 Box 7603, DPO AP 47920",Nigeria,0.81,7,Net 60,2017-05-10,"ISO 9001, ISO 14001"
27,"Ramos, Williams and Adams",sarakim@example.net,310.993.2480x8613,"USNS Jimenez, FPO AP 38755",Malawi,0.72,3,Net 30,2015-11-16,"ISO 9001, ISO 14001"
28,Davenport-Baird,stephenthomas@example.org,+1-982-414-6584x044,"5886 Cantu Ways Apt. 396, Port Kimberly, AZ 42205",Samoa,0.81,8,Net 30,2009-02-18,
29,Hughes-Alvarado,tylerjohnson@example.net,001-851-471-8702,"9615 Finley Road Suite 809, East Crystalport, IN 98381",Bermuda,0.94,5,Net 30,2008-01-02,None
30,Hodges Ltd,wallaceheather@example.org,8504455623,"693 Durham Divide, South Dana, NH 33967",PapuaNewGuinea,0.79,6,Net 45,1995-09-10,None
31,Santana-Byrd,charleslandry@example.net,664-674-3671x3695,"0909 Wall Heights Apt. 953, New John, WV 94994",Seychelles,0.89,5,Net 60,2014-07-15,None
32,Fuller Ltd,parkerscott@example.net,(621)445-6232x858,"5171 Karen Fork Suite 851, Smithside, DE 60110",HeardIslandandMcDonaldIslands,0.83,12,Net 30,2014-12-06,ISO 9001
33,"Baker, James and Little",daniel37@example.org,+1-285-693-1746x120,"Unit 1138 Box 2675, DPO AP 97905",Qatar,0.82,6,Net 30,2022-11-07,None
34,Matthews-Barber,fpena@example.net,(840)653-7735x15850,"1390 Kristin Gardens, Port Anne, CA 73142",Coted'Ivoire,0.76,3,Net 60,2012-06-03,
35,Murphy and Sons,ramireztracey@example.org,+1-742-210-2053,"68117 Strickland Passage, South Williamton, VA 86864",Mali,0.72,9,Net 60,2004-03-01,
36,"Maynard, Brown and Mendoza",gsimmons@example.com,001-771-815-9212x499,"Unit 8478 Box 9611, DPO AP 85817",Turkey,0.74,3,Net 60,2017-09-19,"ISO 9001, ISO 14001"
37,"Glenn, Jordan and Beasley",dmorgan@example.com,(315)765-4527x11116,"885 Robert Well, Parrishton, LA 79197",Georgia,0.89,7,Net 60,2005-08-13,None
38,"Romero, Moore and Olson",bellangela@example.org,001-649-636-8998x09402,"PSC 5022, Box 9612, APO AP 83492",Antarctica(theterritorySouthof60degS),0.83,1,Net 30,1998-01-29,
39,"Lewis, Barnes and Peterson Electronics",larry59@example.net,802-929-0147,"3815 Rodriguez Springs Suite 840, South Tracey, AR 01508",CostaRica,0.47,33,Prepaid Only,2004-02-28,
40,Saunders LLC,mark07@example.net,(922)368-3885x16060,"664 Richard Islands Apt. 975, South Meganbury, NE 77685",Iran,0.76,3,Net 30,2010-08-12,ISO 9001
41,Harrell-Reese,masonjackson@example.net,+1-418-483-5523x1243,"77997 Lin Road, Edwardland, NJ 58462",NorfolkIsland,0.87,7,Net 30,2004-03-14,ISO 9001
42,Vargas-Bell,collinsshannon@example.org,(941)519-9867x980,"207 Lisa Villages Suite 182, East Jasminemouth, NC 69018",NewZealand,0.82,9,Net 45,2000-01-09,
43,Hardin-Hughes,erika05@example.org,818-464-4925x19254,"8652 Debbie Manors, Andrewport, HI 28575",Guam,0.81,7,Net 45,2022-11-25,ISO 9001
44,Lee-Cooke,chrisrichard@example.org,988.205.9296x22292,"9473 Kyle Valleys, Mckeeborough, MN 89408",Yemen,0.86,6,Net 30,2011-12-17,ISO 9001
45,Murray-Campbell,ashaw@example.org,392.640.7581,"7826 Stacey Forges, Wilkersontown, MT 07481",Indonesia,0.75,6,Net 45,2009-12-23,ISO 9001
46,Hughes Inc,jeffrey51@example.net,+1-252-620-4727x7901,"986 Kimberly Freeway, Davidbury, MT 84249",SouthAfrica,0.93,2,Net 45,2013-06-24,ISO 9001
47,Rodriguez Group Electronics,chenbailey@example.net,,"95396 Elizabeth Corner Suite 188, South Morganton, SC 51210",HolySee(VaticanCityState),0.6,41,Prepaid Only,2002-10-10,ISO 9001
48,Kelly Inc,john19@example.net,001-252-605-8527x72217,"54868 King Terrace, West Michael, WI 06766",Tonga,0.76,4,Net 45,2014-06-08,ISO 9001
49,Martinez-Richardson,ypaul@example.com,(877)458-4161,"15447 Jackson Mills Suite 705, Hillton, CA 88474",NorthernMariana Islands,0.74,5,Net 30,2007-03-14,ISO 9001
50,"Owen, Shelton and Cisneros",melindagregory@example.com,4219355690,"USNV Wallace, FPO AE 75726",Burundi,0.87,10,Net 60,2010-10-10,ISO 9001
